VS,ヴィヴァンツ,,,リーグ戦,,１戦目,,３／１,13:00〜,北谷運動公園,
,,チーム名,,１,２,３,４,５,６,７,合計
,,ヴィヴアンツ,,２,０,３,１,０,３,０,９
,,フルフェイス,,１,０,１,０,０,０,１,３
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
打順,選手名,背番号,守備,１回,２回,３回,４回,５回,６回,７回,
１,大淵,２５,８,"左２安
盗塁１",,左２安,,二飛,,,
２,佐伯,５２,５,"四球
盗塁１",,"中安
打点１",,三ゴロ,,,
３,髙橋,１７,４,遊飛,,投飛,,,内安,,
４,澤渡,５６,３,"中安
打点１",,,遊エラー,,中２安,,
５,森,６,DH,"二ゴロ
併殺",,,三エラー,,三ゴロ,,
６,高武,５,１,,三振,,遊飛,,遊ゴロ,,
７,古賀,１６,６,,"四球
盗塁１",,中飛,,,四球,
８,中西,４,７,,三振,,左飛,,,四球,
９,井口,１,２,,三振,,,左安,,三エラー,
１０,道下,１３,DH,,,三ゴロ,,四球,,四球,
１１,藤岡,７７,９,,,投飛,,中飛,,三振,
１２,,,,,,,,,,,
投手成績,,,,,,,,,,,
,,,,,,,,,,,
,選手名,登板回数,失点,自責点,奪三振,四球,死球,被安打,被本塁打,,
１,高武,２,２,２,１,１,０,１,１,,
２,佐伯,１,３,２,０,１,０,１,１,,
３,古賀,３,４,４,４,１,１,５,０,,
４,大淵,１,０,０,０,０,０,０,０,,
,,,,,,,,,,,
備考,,,,,,,,,,,
